Scenario,Suite,N_dates,MeanNetPnL,MedianNetPnL,AvgHit,AvgNonFlatHit,EventSharpe
sp400_long,QQQ,18,-0.005443026493816988,0.0,0.5914121292607349,0.41731051667320335,-0.6068478449314124
sp400_long,SPY,18,-0.006827325381974078,0.0,0.5635236830455954,0.39006729512991695,-0.6688171352521777
sp400_med,QQQ,18,-0.004068051644742533,0.0,0.6343669250645996,0.448363978934444,-0.4698596043856713
sp400_med,SPY,18,-0.004809258620741181,0.0,0.6208010335917312,0.40576168116559674,-0.5202700127635299
sp400_short,QQQ,18,-0.004845926836525217,0.0,0.5825695848885261,0.42980850217660005,-0.5085437153327076
sp400_short,SPY,18,-0.005368213916102966,0.0,0.5729316645484092,0.4287602714784106,-0.5147701021698863
sp500_long,QQQ,18,-0.002366311590586111,0.0,0.6203703703703703,0.4776296538092095,-0.42798360043050265
sp500_long,SPY,18,-0.0030106011078679723,0.0,0.5972222222222222,0.44418911377445736,-0.5317562848542402
sp500_med,QQQ,18,-0.0020229442433145036,0.0,0.6549295774647886,0.4533682750602901,-0.38772226372723845
sp500_med,SPY,18,-0.003032785287985917,-0.0,0.6298904538341158,0.44827755769718103,-0.4378533382802827
sp500_short,QQQ,18,-0.003433782225022135,0.0,0.5996541354404257,0.44605878807498583,-0.38955596496099715
sp500_short,SPY,18,-0.004733319156870932,-0.0008973489562759,0.539515110785272,0.426398090044721,-0.4998632377332091
sp600_long,QQQ,18,-0.006865044291406272,0.0,0.5850047755491882,0.3952678067968027,-0.6536022983355387
sp600_long,SPY,18,-0.008120988813824389,0.0,0.5684495383635785,0.38179014349803025,-0.6959993057128919
sp600_med,QQQ,18,-0.004723874241388623,0.0,0.6188811188811189,0.43221929585437,-0.5351303507865519
sp600_med,SPY,18,-0.00644992176957455,0.0,0.5932400932400932,0.4034890157512331,-0.6042116771711983
sp600_short,QQQ,18,-0.0054459460468218,0.0,0.566330552056419,0.42460190020666794,-0.5197969511636198
sp600_short,SPY,18,-0.00686977275694314,-0.00014612082383915,0.5358871637452262,0.4090645858365868,-0.6054515261650122
